Date,RELIANCE.NS_Open,RELIANCE.NS_High,RELIANCE.NS_Low,RELIANCE.NS_Close,RELIANCE.NS_Volume,TCS.NS_Open,TCS.NS_High,TCS.NS_Low,TCS.NS_Close,TCS.NS_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,META_Open,META_High,META_Low,META_Close,META_Volume,HDFCBANK.NS_Open,HDFCBANK.NS_High,HDFCBANK.NS_Low,HDFCBANK.NS_Close,HDFCBANK.NS_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,INFY.NS_Open,INFY.NS_High,INFY.NS_Low,INFY.NS_Close,INFY.NS_Volume,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Volume
2018-01-01,407.5852081610255,407.5852081610255,400.8709111867806,401.86480712890625,9453202.0,1084.1062265227956,1089.1583562565497,1064.9889478753878,1069.273193359375,1351760.0,,,,,,,,,,,,,,,,436.93540988731945,438.81363463022535,431.7557521644195,432.68902587890625,6580516.0,,,,,,,,,,,,,,,,416.91151768006387,419.64353927650944,413.8179468212587,415.2442321777344,5431340.0,,,,,
2018-01-02,403.30042390928554,406.19376806809856,400.38499382911994,402.48321533203125,9499419.0,1075.093498939215,1078.97357509689,1059.0074937690717,1063.453369140625,1920290.0,4.84001004539694,4.931975097719363,4.808366704007385,4.928266525268555,355616000.0,58.599998474121094,59.5,58.5255012512207,59.45050048828125,53890000.0,176.29651597117564,180.16615833200692,176.16753849046654,180.0074005126953,18151900.0,433.63395220523535,437.47202874492336,433.63395220523535,436.8537292480469,4776316.0,52.21940716939454,53.357995537474515,52.21940716939454,53.22063064575195,31766000.0,39.7761820981515,40.27642306888876,39.565798181369,40.26707077026367,102223600.0,78.8647069458507,79.02952375498265,78.28785160680647,78.69989013671875,22483800.0,416.7307329660515,418.63911665521874,411.0055818985497,413.6973876953125,6112248.0,20.799999237060547,21.474000930786133,20.733333587646484,21.368667602539062,65283000.0
2018-01-03,408.6012273440015,409.04297529596624,403.32254425415965,404.0955810546875,13507800.0,1063.7764178273135,1078.730721573366,1063.45306179522,1066.464111328125,1257120.0,5.045694552012825,5.283022911178578,5.037042002246591,5.252614974975586,914704000.0,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000.0,180.46381686166586,183.34123028472084,179.9180963462649,183.23208618164062,16886600.0,437.47201546441374,438.2303002912187,431.91902595561834,432.2573547363281,4531288.0,53.256335915730126,54.355750700510285,53.23154311672444,54.12862777709961,31318000.0,40.3301987947651,40.802390149607916,40.19695881636793,40.26007080078125,118071600.0,78.80063109352733,79.21267670959426,78.71822616181606,79.06616973876953,26061400.0,413.2153143053607,414.4607760322271,409.23783088301013,410.3226013183594,6846552.0,21.399999618530273,21.683332443237305,21.036666870117188,21.149999618530273,67822500.0
2018-01-04,405.5753003845597,407.1876314889184,404.49306083752754,406.5250244140625,9008932.0,1071.0512499584233,1075.9012933544614,1067.0095471283914,1073.9208984375,913082.0,5.333949280133608,5.390561945196384,5.258053453556428,5.280303001403809,583268000.0,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000.0,183.46029878370092,184.7601113895471,182.6665399715534,182.89474487304688,13880900.0,432.3390412640181,435.25552157475755,432.3390412640181,433.9489440917969,2373776.0,54.40484274679612,54.751476560448786,54.26450408287468,54.33888626098633,26052000.0,40.33253619262437,40.549932623249475,40.22500969017766,40.447078704833984,89738400.0,79.28592141418987,80.2656710412665,79.26761153616974,79.7620620727539,21912000.0,410.2021144527568,410.2021144527568,405.62198309187386,407.9522399902344,8947614.0,20.857999801635742,21.23666763305664,20.3786678314209,20.974666595458984,149194500.0
2018-01-05,407.18769426834785,409.4405173881011,406.5030011683391,407.82818603515625,7441284.0,1071.0514393012488,1091.0578718466872,1071.0514393012488,1086.8948974609375,1153706.0,5.295136573936795,5.362379382310361,5.218251948629703,5.325049877166748,580124000.0,60.8754997253418,61.457000732421875,60.5,61.457000732421875,70894000.0,184.1449274556417,185.4447249132327,183.49006281380875,185.39512634277344,13574500.0,434.67220947072013,435.8504788652752,432.93399866217055,434.81219482421875,2870868.0,54.720237383951606,55.22258571487363,54.63841320373191,55.05943298339844,30250000.0,40.54292003219282,40.99407050276175,40.4517547079046,40.9075813293457,94640000.0,80.26565404303865,80.95238958966628,80.05505206830534,80.75094604492188,23407100.0,407.91200124161696,412.37160747268575,404.175591630898,406.586181640625,11025976.0,21.107999801635742,21.14933204650879,20.799999237060547,21.10533332824707,68868000.0
2018-01-08,409.08713287049676,411.25161224669074,407.9386354149987,410.16937255859375,8827020.0,1091.2601853432514,1102.112201100601,1083.92453134488,1097.0802001953125,1242220.0,5.448656992429337,5.562376462665713,5.403663271892022,5.488211631774902,881216000.0,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000.0,185.7423723994865,187.42913239620646,184.87915146104248,186.81396484375,17994700.0,435.13885038972813,436.4687539823326,433.44729185604155,434.11224365234375,4570308.0,55.094642223098475,55.49929868498433,55.04505284208835,55.25382614135742,24644000.0,40.7556266784668,41.050159881448366,40.65744537728277,40.7556266784668,82271200.0,80.76010528933247,81.10805580416533,80.21071819613458,80.83335876464844,22113000.0,411.7689675671232,417.43384438577914,409.8203925602368,416.2486572265625,5594690.0,21.066667556762695,22.468000411987305,21.03333282470703,22.42733383178711,147891000.0
2018-01-09,409.99261700940946,416.9498883406029,408.15945613038986,415.64678955078125,14294571.0,1097.3223606586985,1099.7473824502094,1081.782032412977,1094.8973388671875,2149396.0,5.493649752231219,5.533204388054463,5.405146219212077,5.486727714538574,497000000.0,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000.0,187.2307352904653,187.32996272341487,185.64320234313658,186.40719604492188,12393100.0,434.43894132804274,436.27048541128966,432.80571222530574,434.8355712890625,5305528.0,55.46359230752594,55.46359230752594,54.95578828833966,55.183406829833984,26808000.0,40.802380620103136,40.921595685232134,40.53589715868877,40.750953674316406,86336000.0,81.17217117895406,81.24542467261705,80.44880864716666,80.7784423828125,19484300.0,417.83564823633685,419.8043067723211,413.3760660302237,418.3780212402344,9948236.0,22.3439998626709,22.586666107177734,21.82666778564453,22.246000289916992,107199000.0
2018-01-10,416.55237577748244,418.4959959042889,413.239398987922,416.2652587890625,11727682.0,1095.7059954066838,1138.1438889949177,1089.097769649606,1134.3447265625,3365850.0,5.394270684750839,5.533206598995135,5.339883156644001,5.529745578765869,582664000.0,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,53720000.0,185.4844398333351,186.42703986268575,184.18464225033807,186.37742614746094,10529900.0,435.18549737067065,435.8154741815216,433.34230467249125,434.9521789550781,4615888.0,54.89627981139507,55.182912254345965,54.74652041343671,55.05199432373047,20734000.0,40.47744886221662,40.74393226497454,40.4400468068122,40.74159240722656,95839600.0,80.44878188601487,80.75094720748172,80.03674334644032,80.41215515136719,18652200.0,420.56763297431996,424.26385145669997,415.04336407514415,422.7572326660156,9468634.0,22.14666748046875,22.46666717529297,22.0,22.31999969482422,64648500.0
2018-01-11,416.02229612049877,416.3977862956731,413.0185221551711,414.2333068847656,7849171.0,1135.7188473762824,1140.5284357655114,1124.482890290132,1127.8375244140625,2520744.0,5.5623760240464835,5.59377274642139,5.518124021321542,5.539632320404053,406032000.0,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,62500000.0,186.93303715692767,186.93303715692767,185.9209901804445,186.30795288085938,9588600.0,434.9522199214611,437.70538887726343,433.0973497352986,436.90045166015625,4059096.0,55.15961480802942,55.28557268494568,54.870504175908906,55.14672088623047,22424000.0,40.81173298285246,41.02211693438228,40.78835936614299,40.973026275634766,74670800.0,80.69602385692144,80.69602385692144,79.88109801761614,80.6502456665039,17808900.0,423.96252058333675,435.2722152576494,423.96252058333675,432.21881103515625,16775298.0,22.349332809448242,22.987333297729492,22.21733283996582,22.530000686645508,99682500.0
2018-01-12,416.55235874310455,420.8813172634133,414.45413724679906,419.2027282714844,15071161.0,1133.6977261115746,1133.6977261115746,1107.648969216189,1122.1182861328125,3360314.0,5.527767235721763,5.562130352331942,5.471896286108399,5.512439727783203,359916000.0,63.669498443603516,65.28800201416016,63.669498443603516,65.26000213623047,108874000.0,176.6735455434726,180.0669141301532,176.0186809548209,177.9733428955078,77551300.0,437.00546404190743,438.2070597754336,433.97232414199027,435.20892333984375,4336708.0,55.05001429043601,56.10132281445176,54.94637108166763,56.069091796875,38586000.0,41.18340176092249,41.45923751339591,41.05951054984298,41.396121978759766,101672400.0,81.19048526695865,82.20685484023136,80.98904164186487,82.04203796386719,24271500.0,436.23645926843363,436.2766259599619,430.1095429812005,433.283447265625,18016528.0,22.575332641601562,22.694000244140625,22.244667053222656,22.4146671295166,72376500.0
